Disease,Symptoms_1,Symptoms_2,Symptoms_3,Symptoms_4
Accessory Breast Tissue (Polymastia),Extra breast tissue in armpit/chest,Swelling/pain during menstruation,Visible lump under skin,Nipple present in abnormal location
Adenomyosis,heavy menstrual bleeding,prolonged periods,severe cramping,pelvic pain
Amastia,Absence of one/both breasts,Missing nipple(s),Congenital (present at birth),May accompany chest wall abnormalities
Amniotic Fluid Embolism,Sudden shortness of breath,Hypotension (low blood pressure),Coagulopathy (excessive bleeding),Seizures during labor
Anovulation,Irregular or absent menstrual periods,Infertility or difficulty conceiving,Acne or excess facial/body hair,"Lack of ovulation symptoms (e.g., no mid-cycle pain)"
Asherman’s Syndrome,Light or absent menstrual periods,Infertility or recurrent miscarriages,Pelvic pain or cramping,Scar tissue (intrauterine adhesions) seen on imaging
Autoimmune Oophoritis,Irregular or absent periods,Hot flashes or night sweats,Infertility,Elevated FSH and autoimmune markers
Bacterial Vaginosis,Thin grayish-white vaginal discharge,Fishy vaginal odor,Vaginal itching or irritation,Burning during urination
Bartholin Gland Hyperplasia,Labial swelling,Pain while sitting or walking,Tenderness near the vaginal opening,Discomfort during intercourse
Bartholin’s Cyst,Painless lump near vaginal opening,Redness or swelling,Discomfort while walking,Pain during sex if infected
Benign Breast Disease,Lumpy or dense breast tissue,Breast tenderness,Breast swelling,Pain that varies with menstrual cycle
Benign Proliferative Breast Disease,Lump in the breast,Nipple discharge,Breast tenderness,Increased breast density
BIA-ALCL (Breast Implant-Associated Anaplastic Large Cell Lymphoma),Swelling around breast implant,Lump near implant,Pain in the breast,Fluid buildup around implant
Breast Abscess,Painful lump in breast,Redness and warmth in area,Fever and chills,Pus discharge from nipple
Breast Cancer,Breast lump or mass,Change in breast shape,Nipple discharge,Skin dimpling or puckering
Breast Cysts,"Smooth, movable lump in breast",Breast tenderness,Increase in size before menstruation,Clear or yellow nipple discharge
Breast Engorgement,"Swollen, firm breasts",Tenderness,"Shiny, tight skin over breast",Difficulty breastfeeding
Breast Fat Necrosis,"Firm, round lump in breast",Bruising or skin redness,Tenderness in the area,Skin dimpling or thickening
